t,joyx,joyy
6.574563415,-0.1656237,0.0
7.174707902,-0.48268673,-0.7079683
7.7763164,0.49103048,0.0
8.337038331,0.0,1.0
8.894666772,-1.0,0.073842295
9.495838238,-0.8915311,-0.69962454
10.060383763,0.0,-1.0
10.61527012,0.46599916,0.0
11.175169186,0.0,1.0
11.774490288,-1.0,0.17396747
12.334519198,-1.0,-0.29078016
12.854871385,0.0070921956,1.0
13.374832322,1.0,-0.06549854
13.894479561,-0.19899875,-1.0
14.4944841,0.0,-1.0
15.01460535,0.0,1.0
15.854462569,-0.7413434,-0.23237382
16.615009103,0.858156,0.0
